Profit,Diff Step,Last Swing Bars,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
1,6.633333333,0,100.0762873,99.98728544,99.98728544,100,100,100.0254291,100.0063573,99.96185633,99.99364272,99.98728544,18.55345912,100.0260071,100.0254291,99.96185633,100.0063573,99.98092816,22.01257862,100.0335202,0,0,1,0,0,0,0,1,1,1,0
0,1.266666667,0,100.1328021,99.96205654,99.97470436,100,100,100.0603646,100.0442674,99.92411307,99.97470436,99.98102827,48.38513102,100.0689881,100,99.79763486,99.94940871,99.97470436,80.19500305,100.0902595,1,0,1,0,1,1,0,0,1,1,0
1,5.733333333,0,100.006296,99.85519108,99.8740792,100,100,100.0698288,99.95592772,99.86148712,99.94333564,99.8740792,34.88721805,100.084138,100.0440723,99.89926336,100.0377762,99.94963168,96.69172932,100.1035985,0,0,0,0,0,0,0,1,0,0,0
0,11.96666667,0,100.0436518,99.91269643,100.006236,100,100,100.0459194,100.0498878,99.96882015,99.98752806,100.0124719,53.67008682,100.0498878,100.0187079,99.95634822,99.98752806,99.98129209,43.72533544,100.0442187,1,0,0,1,0,0,1,0,1,0,0
0,6.166666667,0,100.0186939,99.92522433,99.95638086,100,100,100.0923366,100.0186939,99.87537388,99.93768694,99.95638086,116.3097199,100.1053657,99.98753739,99.91899302,99.98130608,99.92522433,122.2405272,100.1008339,1,0,1,0,0,0,0,0,0,1,1
1,7.433333333,0,100.0062177,99.76372567,99.81346764,100,100,100.0463505,99.91295156,99.75750793,99.90673382,99.81346764,139.171123,100.0367412,100.0186532,99.85077411,99.91295156,99.90051607,95.15374332,99.84342586,1,0,0,0,0,0,0,1,0,0,1
1,14.7,0,100.0677423,99.96920803,99.98152482,100,100,100.084538,99.98768321,99.94457445,99.96920803,99.98152482,93.2885906,100.0817387,100.0492672,99.95073285,100.0431088,99.97536642,112.7516779,100.0901365,1,0,1,0,0,0,0,0,0,1,0
0,5.55,0,100.036794,99.93867664,99.95094131,100,100,100.0752605,100.036794,99.93867664,100.0122647,99.95094131,74.23423423,100.094215,100.055191,99.97547066,100.0245293,100.0245293,106.4864865,100.110382,1,0,0,0,0,0,0,1,1,0,0
0,0.75,0,100.0922623,99.94464264,100.0369049,100,100,100.2885293,100.1476196,99.96924591,100.0799606,100.0430557,92.16639654,100.3338217,100.1291672,99.84007873,99.98154755,100.0738098,270.2323069,100.3807916,1,0,0,0,0,0,1,1,0,0,1
0,4.216666667,0,100.0246579,99.92602638,99.97534213,100,100,100.1720447,100.0863026,99.92602638,99.99383553,99.98767106,245.7943925,100.2090315,100.1910985,99.99383553,100.1479472,99.99383553,193.6915888,100.2493808,1,1,0,0,0,0,0,1,0,0,1
